age,sex,education,income_family,n
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
15,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",3
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
15,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
15,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
15,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",2
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",5
15,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
15,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",4
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",3
15,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
15,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
15,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",3
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",3
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",4
15,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",4
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
15,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",2
15,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
15,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
15,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",4
15,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",4
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
15,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
15,Male,Less than high school diploma or its equivalent,"$125,000 and more",3
15,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
15,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
15,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
15,Male,"NA","Less than $25,000",1
16,Female,Less than high school diploma or its equivalent,"$125,000 and more",3
16,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
16,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",3
16,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
16,Male,Less than high school diploma or its equivalent,"$125,000 and more",3
16,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
